TransactionID,Product,UnitPrice,Revenue,Expenses,Date
FDA15,Dairy,249.8092,3735.138,2334.12,2025-07-01
DRC01,Soft Drinks,48.2692,443.4228,328.2,2025-07-02
FDN15,Meat,141.618,2097.27,1460.54,2025-07-03
FDX07,Fruits and Vegetables,182.095,732.38,490.5,2025-07-04
NCD19,Household,53.8614,994.7052,578.13,2025-07-05
FDP36,Baking Goods,51.4008,556.6088,323.5,2025-07-06
FDO10,Snack Foods,57.6588,343.5528,192.94,2025-07-07
FDP10,Snack Foods,107.7622,4022.7636,2909.4,2025-07-08
FDH17,Frozen Foods,96.9726,1076.5986,721.56,2025-07-09
FDU28,Frozen Foods,187.8214,4710.535,3257.87,2025-07-10
FDY07,Fruits and Vegetables,45.5402,1516.0266,840.06,2025-07-11
FDA03,Dairy,144.1102,2187.153,1627.2,2025-07-12
FDX32,Fruits and Vegetables,145.4786,1589.2646,1138.69,2025-07-13
FDS46,Snack Foods,119.6782,2145.2076,1270.97,2025-07-14
FDF32,Fruits and Vegetables,196.4426,1977.426,1159.49,2025-07-15
FDP49,Breakfast,56.3614,1547.3192,907.78,2025-07-16
NCB42,Health and Hygiene,115.3492,1621.8888,990.73,2025-07-17
FDP49,Breakfast,54.3614,718.3982,470.52,2025-07-18
DRI11,Hard Drinks,113.2834,2303.668,1466.03,2025-07-19
FDU02,Dairy,230.5352,2748.4224,1671.72,2025-07-20
FDN22,Snack Foods,250.8724,3775.086,2538.26,2025-07-21
FDW12,Baking Goods,144.5444,4064.0432,2348.61,2025-07-22
NCB30,Household,196.5084,1587.2672,965.74,2025-07-23
FDC37,Baking Goods,107.6938,214.3876,133.62,2025-07-24
FDR28,Frozen Foods,165.021,4078.025,2614.89,2025-07-25
NCD06,Household,45.906,838.908,593.14,2025-07-26
FDV10,Snack Foods,42.3112,1065.28,628.45,2025-07-27
DRJ59,Hard Drinks,39.1164,308.9312,201.68,2025-07-28
FDE51,Dairy,45.5086,178.4344,119.28,2025-07-29
FDC14,Canned,43.6454,125.8362,70.38,2025-07-30
FDV38,Dairy,55.7956,163.7868,109.98,2025-07-31
NCS17,Health and Hygiene,96.4436,2741.7644,1601.48,2025-08-01
FDP33,Snack Foods,256.6672,3068.0064,1727.32,2025-08-02
FDO23,Breads,93.1436,2174.5028,1608.65,2025-08-03
DRH01,Soft Drinks,174.8738,2085.2856,1549.63,2025-08-04
