Date,TransactionID,Product,Revenue,Expenses
2024-01-01,TX1001,CRM Enterprise Suite,5054.37,3063.86
2024-01-01,TX1002,AI Marketing Agent,2479.84,1717.55
2024-01-01,TX1003,BI Analytics Platform,3903.78,2575.71
2024-01-01,TX1003,AI Marketing Agent,2257.79,1444.53
2024-01-01,TX1004,Elastic VPS Compute Instance,962.64,551.98
2024-01-02,TX1005,Support Premium SLA,1356.85,778.02
2024-01-02,TX1006,Managed Database Storage,599.06,334.7
2024-01-02,TX1007,Consulting Implementation Package,6203.86,4218.17
2024-01-02,TX1008,AI Marketing Agent,1798.33,1151.23
2024-01-02,TX1009,Managed Database Storage,635.14,416.79
2024-01-03,TX1010,CRM Enterprise Suite,3436.03,1900.43
2024-01-03,TX1010,Support Premium SLA,1097.74,763.46
2024-01-03,TX1010,Consulting Implementation Package,5954.51,4018.5
2024-01-03,TX1011,Elastic VPS Compute Instance,676.78,393.79
2024-01-03,TX1011,Managed Database Storage,468.85,270.65
2024-01-04,TX1012,Managed Database Storage,3396.64,1961.6
2024-01-04,TX1013,Support Premium SLA,7021.07,4182.0
2024-01-05,TX1014,CRM Enterprise Suite,1802.72,1133.39
2024-01-05,TX1015,Security Firewall Shield,1205.98,741.43
2024-01-05,TX1016,Serverless GPU Cluster,2524.96,1499.03
2024-01-05,TX1016,Security Firewall Shield,1189.55,763.43
2024-01-05,TX1017,Managed Database Storage,272.64,155.66
2024-01-05,TX1018,Serverless GPU Cluster,2317.33,1376.08
2024-01-05,TX1018,Security Firewall Shield,1076.94,651.5
2024-01-06,TX1019,Managed Database Storage,601.57,372.02
2024-01-06,TX1020,Managed Database Storage,578.36,386.22
2024-01-06,TX1021,CRM Enterprise Suite,3771.88,2187.51
2024-01-06,TX1022,BI Analytics Platform,2866.59,1797.74
2024-01-06,TX1022,AI Marketing Agent,1967.76,1257.13
2024-01-07,TX1023,Security Firewall Shield,8231.86,4584.88
2024-01-07,TX1024,AI Marketing Agent,5691.65,3649.1
2024-01-08,TX1025,Managed Database Storage,1036.42,596.54
2024-01-08,TX1026,CRM Enterprise Suite,5808.24,3251.21
2024-01-08,TX1026,Support Premium SLA,2320.85,1606.8
